@RELATION svmModelTest
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Speech,Music,Activity}

@DATA
0.194462,0.003789,3.093192,0.305768,0.265507,1.658577,0.059264,0.393437,-26.573704,0.930240,0.055415,0.219000,0.049873,0.132494,0.089963,0.132535,0.079453,0.055900,0.039477,-0.000506,-0.069412,0.007234,0.003089,0.047478,0.005742,0.007473,0.003678,0.058651,0.002156,0.003331,0.005684,0.057130,0.003680,0.026348,0.064015,0.001686,0.241382,0.079428,0.069657,0.567167,0.218212,0.135753,6.231292,0.365954,0.105441,0.202319,0.147489,0.111526,0.112829,0.204303,0.193165,0.126060,0.069467,0.122844,0.148484,0.004348,0.001884,0.030132,0.003959,0.004930,0.002763,0.042123,0.001486,0.001697,0.003373,0.037601,0.002623,0.010633,Silence
0.197591,0.010166,3.154840,0.330510,0.285210,1.661860,0.004332,0.398062,-23.936211,0.934525,0.086701,0.243371,0.065433,0.111076,0.018468,0.036088,-0.021056,0.028612,0.032131,0.060613,-0.005428,0.005733,0.002980,0.034291,0.003961,0.007911,0.004829,0.057997,0.001764,0.003127,0.006496,0.065290,0.002788,0.026635,0.053719,0.004318,0.110289,0.014938,0.007130,0.546409,0.002437,0.160467,0.299887,0.179235,0.115881,0.174025,0.175327,0.101823,0.154564,0.134279,0.161380,0.150113,0.113641,0.113967,0.112807,0.003473,0.002210,0.020941,0.002674,0.005981,0.003130,0.038122,0.001271,0.001853,0.004287,0.039063,0.002060,0.008048,Silence
0.197612,0.040643,3.141856,0.323493,0.282023,1.605902,0.025778,0.414410,-22.669352,1.027426,0.141605,0.241362,0.105876,0.121973,0.063875,0.020950,-0.001527,0.013145,0.048141,0.014804,-0.041314,0.007157,0.002383,0.044714,0.006341,0.008192,0.005085,0.089261,0.002116,0.003186,0.005262,0.056059,0.002700,0.032612,0.044666,0.011927,0.129240,0.045460,0.036011,0.436104,0.096737,0.135989,3.203496,0.226298,0.151200,0.126690,0.122373,0.149670,0.155772,0.137985,0.131581,0.138684,0.139030,0.134269,0.155402,0.006334,0.001329,0.031663,0.004757,0.006118,0.003229,0.060627,0.001551,0.001881,0.003357,0.032653,0.001853,0.012527,Silence
0.206873,0.029758,3.187612,0.330630,0.287707,1.704543,0.004243,0.432653,-22.309197,1.077091,0.068294,0.152742,0.008677,0.098419,0.063390,0.038280,-0.024540,0.000703,0.041743,0.049110,0.047426,0.006828,0.002316,0.034175,0.006435,0.009185,0.007242,0.072822,0.001788,0.003815,0.006709,0.054083,0.003194,0.027381,0.038916,0.014278,0.071309,0.014371,0.003064,0.398712,0.003498,0.118924,0.169085,0.151394,0.146630,0.126989,0.135961,0.148624,0.164052,0.145462,0.133037,0.129543,0.146854,0.125892,0.133038,0.005209,0.001324,0.019562,0.005737,0.006507,0.006124,0.045675,0.001056,0.002460,0.004028,0.034130,0.002432,0.008692,Silence
0.212426,0.001924,3.117114,0.332770,0.285524,1.767331,0.003601,0.431113,-26.676422,0.925711,0.137596,0.238190,-0.003644,0.122222,0.007453,-0.002800,-0.029401,0.008120,-0.046605,-0.008439,-0.018488,0.010307,0.002900,0.040580,0.004843,0.007307,0.005014,0.058912,0.002780,0.003845,0.005430,0.051932,0.003880,0.025051,0.037104,0.002287,0.162600,0.019857,0.006332,0.472043,0.002565,0.138821,0.668441,0.281649,0.137516,0.181237,0.163428,0.174550,0.161683,0.130856,0.182493,0.161598,0.190019,0.175390,0.125932,0.008228,0.002695,0.026659,0.002726,0.004316,0.003054,0.043372,0.001849,0.002759,0.003433,0.032841,0.003885,0.010519,Silence
0.208657,0.054877,3.204701,0.329695,0.287172,1.704583,0.003391,0.429833,-21.436358,1.170394,0.171464,0.113276,0.023117,0.062178,0.004866,0.004716,-0.059625,-0.026834,0.043907,-0.014201,-0.071997,0.008808,0.003189,0.038811,0.009164,0.007319,0.006817,0.069489,0.002748,0.004235,0.008576,0.048659,0.003795,0.025971,0.039648,0.015665,0.054487,0.014721,0.005274,0.370225,0.002049,0.112884,0.179613,0.177561,0.161751,0.157388,0.171771,0.118744,0.139600,0.140485,0.102456,0.144403,0.140997,0.126359,0.140947,0.007097,0.002425,0.020694,0.005109,0.004184,0.005197,0.044324,0.003007,0.002986,0.006298,0.032478,0.002767,0.009218,Silence
0.243554,0.015579,3.191088,0.348401,0.286653,1.897304,0.003122,0.501875,-23.291844,0.995208,0.079843,0.133539,0.115701,0.134500,0.070655,0.009202,-0.014291,0.050080,0.029184,0.006845,-0.010700,0.011705,0.002626,0.038500,0.006033,0.008676,0.004835,0.073152,0.002844,0.003785,0.006179,0.042527,0.004254,0.026568,0.058494,0.007869,0.075954,0.030983,0.008196,0.412872,0.001287,0.119049,0.334157,0.219365,0.188225,0.164093,0.175170,0.162540,0.123910,0.152718,0.150709,0.149742,0.159773,0.143452,0.135985,0.012110,0.001549,0.028653,0.004204,0.004834,0.002816,0.047393,0.003610,0.003627,0.003360,0.028870,0.004045,0.010485,Silence
0.211827,0.072081,3.200749,0.336898,0.287075,1.785147,0.003928,0.462000,-21.082363,1.006635,0.017915,0.133359,-0.004197,0.022059,0.047940,0.075893,0.074526,0.089951,0.042459,0.006180,-0.031327,0.006250,0.005124,0.047313,0.005603,0.007182,0.004198,0.092848,0.002997,0.004379,0.007216,0.040428,0.004088,0.031616,0.041457,0.019799,0.068986,0.012963,0.004016,0.400539,0.003178,0.114991,0.181201,0.232180,0.143287,0.183345,0.186514,0.133322,0.132159,0.146649,0.125247,0.140137,0.150981,0.122830,0.123570,0.003941,0.006707,0.026827,0.004758,0.003840,0.002571,0.055318,0.004024,0.003718,0.003445,0.033902,0.001867,0.010713,Silence
0.217120,0.048130,3.190384,0.334463,0.286047,1.810837,0.003132,0.455580,-21.604160,1.007749,0.084088,0.198779,0.065509,0.058787,0.046031,0.071800,0.030358,0.011161,0.032412,0.054665,0.044779,0.007700,0.003318,0.040077,0.005376,0.010266,0.005233,0.083460,0.001842,0.003860,0.005707,0.046752,0.003349,0.028875,0.041468,0.015783,0.068883,0.015212,0.004825,0.417477,0.001956,0.132584,0.170709,0.147584,0.154685,0.171530,0.110790,0.145102,0.153985,0.147667,0.124740,0.147109,0.098441,0.131135,0.142505,0.004901,0.002053,0.023869,0.003205,0.006493,0.003059,0.043923,0.001127,0.002400,0.003488,0.032716,0.002176,0.008823,Silence
0.198164,0.077781,3.208041,0.335277,0.287657,1.739309,0.001167,0.465000,-20.993742,0.966438,0.139092,0.348994,0.217897,0.023614,-0.001629,0.137733,-0.018160,-0.100545,-0.020120,-0.112236,-0.124264,0.008362,0.001815,0.034871,0.010049,0.008959,0.005079,0.076078,0.001833,0.002435,0.003390,0.055961,0.004209,0.024357,0.015842,0.004694,0.003750,0.007461,0.004612,0.077399,0.000840,0.045046,0.050589,0.114836,0.068014,0.089340,0.049823,0.060389,0.094164,0.069666,0.092271,0.091722,0.075365,0.044707,0.119370,0.004771,0.001022,0.013389,0.002694,0.005599,0.001594,0.004973,0.000505,0.001665,0.001588,0.014030,0.002713,0.001564,Silence
